user_id,session_id,event_time,device_type,location,page_name,event_type,event_value,duration_on_page,referrer_page,next_page,conversion_flag,funnel_stage,intent_label,recommendation_shown,recommendation_clicked,score_intent_probability,cluster_id,total_users,conversion_rate,avg_session_duration,dropoff_rate,persona_name,persona_avg_age,persona_conversion,device_mix,journey_step_count,journey_avg_dwell,journey_dropoff_rate,ab_test_control_rate,ab_test_variant_rate,ab_test_p_value,ab_test_uplift,insight_title,insight_metric,insight_description,insight_suggested_action
,S5504,2025-10-04 17:33:50,mobile,"Pune, IN",Loan_Offers_Page,submit,Submit Application,15.8,Loan_Offers_Page,Success_Page,0,Payment,Apply_Loan,Personal Loan Banner,0,0.92,C5,4000,0.35,32.55,0.2,Senior,22,0.42,Mobile,5,18.3,0.15,0.35,0.38,0.04,0.06,Variant B performs better,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5503,2025-10-03 16:21:50,mobile,"Pune, IN",Loan_Offers_Page,submit,Apply Now,15.8,Loan_Apply_Page,Success_Page,0,Success,Apply_Loan,Insurance Plan,0,0.65,C5,4000,0.37,27.15,0.22,Senior,22,0.18,Desktop,3,15.2,0.15,0.35,0.42,0.04,0.06,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5504,2025-10-05 12:25:50,tablet,"Delhi, IN",Loan_Apply_Page,submit,Apply Now,15.8,Home_Page,Success_Page,1,Apply_Loan,Upgrade,Insurance Plan,0,0.92,C4,4000,0.51,33.59,0.2,Business,35,0.18,Desktop,4,15.2,0.1,0.32,0.38,0.04,0.07,Variant B performs better,0.12,Users abandon payment frequently,Optimize Payment UX
264225.0,S5505,2025-10-07 01:06:50,tablet,"Mumbai, IN",Payment_Page,view,Payment,28.9,Loan_Offers_Page,Logout_Page,0,Offer_View,Purchase,Credit Card Offer,0,0.92,C2,4000,0.49,25.58,0.13,Senior,30,0.18,Mobile,4,9.5,0.15,0.32,0.42,0.04,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5506,2025-10-05 18:42:50,mobile,"Mumbai, IN",Loan_Apply_Page,submit,Apply Now,24.5,Home_Page,Success_Page,1,Offer_View,Renewal,Insurance Plan,0,0.87,C1,4000,0.46,22.69,0.11,Business,22,0.18,Tablet,5,9.5,0.25,0.32,0.38,0.08,0.07,High drop-off on Payment Page,0.12,Users abandon payment frequently,Optimize Payment UX
,S5502,2025-10-04 13:11:50,desktop,"Pune, IN",Payment_Page,submit,Submit Application,35.2,Loan_Offers_Page,Loan_Apply_Page,0,Payment,Apply_Loan,Insurance Plan,0,0.81,C1,4000,0.45,31.49,0.11,Professional,22,0.12,Tablet,6,12.4,0.15,0.32,0.38,0.08,0.06,High drop-off on Payment Page,0.12,Users abandon payment frequently,Deploy Variant B for Mobile
296069.0,S5504,2025-10-09 11:59:50,mobile,"Chennai, IN",Loan_Offers_Page,click,Apply Now,12.0,Loan_Apply_Page,Success_Page,0,Payment,Renewal,Insurance Plan,1,0.92,C2,4000,0.41,29.45,0.24,Professional,45,0.35,Desktop,5,18.3,0.15,0.32,0.38,0.08,0.06,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5506,2025-10-03 18:51:50,mobile,"Pune, IN",Success_Page,click,Payment,15.8,Loan_Apply_Page,Logout_Page,0,Apply_Loan,Query_Info,Credit Card Offer,1,0.92,C5,4000,0.55,31.16,0.2,Business,45,0.42,Desktop,6,12.4,0.2,0.32,0.42,0.04,0.07,Variant B performs better,0.25,Variant B uplift seen in mobile,Optimize Payment UX
,S5502,2025-10-07 00:47:50,mobile,"Mumbai, IN",Payment_Page,click,Submit Application,28.9,Home_Page,Payment_Page,0,Apply_Loan,Query_Info,Credit Card Offer,1,0.92,C2,4000,0.43,30.0,0.22,Student,35,0.18,Desktop,3,18.3,0.25,0.32,0.42,0.08,0.06,Variant B performs better,0.12,Variant B uplift seen in mobile,Deploy Variant B for Mobile
,S5505,2025-10-04 09:25:50,tablet,"Mumbai, IN",Loan_Offers_Page,click,View Loan Details,12.0,Home_Page,Loan_Apply_Page,0,Payment,Purchase,Personal Loan Banner,1,0.92,C1,4000,0.4,20.96,0.21,Senior,30,0.42,Tablet,6,18.3,0.2,0.35,0.42,0.08,0.07,High drop-off on Payment Page,0.25,Variant B uplift seen in mobile,Optimize Payment UX
